Timecode List:,00:00:14.640,00:00:36.080,00:00:46.760,00:02:57.280,00:04:36.000,00:06:22.480,00:06:43.520,00:06:44.280,00:07:26.120,00:07:30.160,00:07:34.440,00:07:35.840,00:09:58.760,00:10:16.800,00:14:08.000,00:15:41.440,00:15:43.840,00:15:56.640,00:15:58.520,00:17:28.040,00:18:58.080,00:20:45.560
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,366,00:00:14.640,14.640,366,00:00:14.640,14.640
2,367,00:00:14.640,14.640,902,00:00:36.080,36.080,536,00:00:21.440,21.440
3,903,00:00:36.080,36.080,1169,00:00:46.760,46.760,267,00:00:10.680,10.680
4,1170,00:00:46.760,46.760,4432,00:02:57.280,177.280,3263,00:02:10.520,130.520
5,4433,00:02:57.280,177.280,6900,00:04:36.000,276.000,2468,00:01:38.720,98.720
6,6901,00:04:36.000,276.000,9562,00:06:22.480,382.480,2662,00:01:46.480,106.480
7,9563,00:06:22.480,382.480,10088,00:06:43.520,403.520,526,00:00:21.040,21.040
8,10089,00:06:43.520,403.520,10107,00:06:44.280,404.280,19,00:00:00.760,0.760
9,10108,00:06:44.280,404.280,11153,00:07:26.120,446.120,1046,00:00:41.840,41.840
10,11154,00:07:26.120,446.120,11254,00:07:30.160,450.160,101,00:00:04.040,4.040
11,11255,00:07:30.160,450.160,11361,00:07:34.440,454.440,107,00:00:04.280,4.280
12,11362,00:07:34.440,454.440,11396,00:07:35.840,455.840,35,00:00:01.400,1.400
13,11397,00:07:35.840,455.840,14969,00:09:58.760,598.760,3573,00:02:22.920,142.920
14,14970,00:09:58.760,598.760,15420,00:10:16.800,616.800,451,00:00:18.040,18.040
15,15421,00:10:16.800,616.800,21200,00:14:08.000,848.000,5780,00:03:51.200,231.200
16,21201,00:14:08.000,848.000,23536,00:15:41.440,941.440,2336,00:01:33.440,93.440
17,23537,00:15:41.440,941.440,23596,00:15:43.840,943.840,60,00:00:02.400,2.400
18,23597,00:15:43.840,943.840,23916,00:15:56.640,956.640,320,00:00:12.800,12.800
19,23917,00:15:56.640,956.640,23963,00:15:58.520,958.520,47,00:00:01.880,1.880
20,23964,00:15:58.520,958.520,26201,00:17:28.040,1048.040,2238,00:01:29.520,89.520
21,26202,00:17:28.040,1048.040,28452,00:18:58.080,1138.080,2251,00:01:30.040,90.040
22,28453,00:18:58.080,1138.080,31139,00:20:45.560,1245.560,2687,00:01:47.480,107.480
23,31140,00:20:45.560,1245.560,31505,00:21:00.200,1260.200,366,00:00:14.640,14.640
