Timecode List:,00:00:01.301,00:00:02.936,00:00:04.071,00:00:05.672,00:00:08.342,00:00:09.176,00:00:20.921,00:00:52.886,00:01:01.094,00:01:16.043,00:01:59.720,00:02:13.333,00:02:59.846,00:03:19.266,00:03:51.098,00:06:25.885,00:06:41.067,00:06:53.146,00:07:04.724,00:07:07.460,00:09:27.801,00:10:04.971,00:10:14.047,00:10:24.724,00:11:59.719,00:13:23.036,00:14:26.866,00:14:31.571,00:15:38.137,00:17:00.820,00:17:17.136,00:18:44.924,00:19:07.613,00:19:55.294,00:20:15.481,00:20:45.711,00:21:07.666,00:23:41.754,00:24:16.488,00:25:55.454,00:26:26.218,00:26:42.201,00:26:54.546,00:28:13.692,00:28:35.514,00:29:11.016,00:30:20.218,00:30:39.438,00:30:47.646,00:31:07.232,00:31:17.309,00:31:18.076,00:31:30.622,00:32:01.086,00:32:03.688,00:32:04.556,00:34:05.844,00:34:18.323,00:43:47.925,00:44:14.585,00:48:43.888,00:48:59.703,00:49:21.525,00:49:30.201,00:50:04.935,00:50:29.860,00:54:14.084,00:54:33.871,00:54:44.181,00:54:58.695,00:56:04.761,00:56:10.367,00:56:19.710,00:56:22.613,00:56:26.083,00:56:29.720,00:56:31.855,00:56:34.458,00:56:39.263,00:56:53.644,00:57:44.628,00:57:52.402,00:59:44.948,01:01:07.697,01:01:20.677,01:01:32.822,01:01:34.691,01:03:12.322,01:05:42.038,01:05:44.641,01:07:30.880,01:12:56.405
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,39,00:00:01.301,1.301,39,00:00:01.301,1.301
2,40,00:00:01.301,1.301,88,00:00:02.936,2.936,49,00:00:01.635,1.635
3,89,00:00:02.936,2.936,122,00:00:04.071,4.071,34,00:00:01.134,1.134
4,123,00:00:04.071,4.071,170,00:00:05.672,5.672,48,00:00:01.602,1.602
5,171,00:00:05.672,5.672,250,00:00:08.342,8.342,80,00:00:02.669,2.669
6,251,00:00:08.342,8.342,275,00:00:09.176,9.176,25,00:00:00.834,0.834
7,276,00:00:09.176,9.176,627,00:00:20.921,20.921,352,00:00:11.745,11.745
8,628,00:00:20.921,20.921,1585,00:00:52.886,52.886,958,00:00:31.965,31.965
9,1586,00:00:52.886,52.886,1831,00:01:01.094,61.094,246,00:00:08.208,8.208
10,1832,00:01:01.094,61.094,2279,00:01:16.043,76.043,448,00:00:14.948,14.948
11,2280,00:01:16.043,76.043,3588,00:01:59.720,119.720,1309,00:00:43.677,43.677
12,3589,00:01:59.720,119.720,3996,00:02:13.333,133.333,408,00:00:13.614,13.614
13,3997,00:02:13.333,133.333,5390,00:02:59.846,179.846,1394,00:00:46.513,46.513
14,5391,00:02:59.846,179.846,5972,00:03:19.266,199.266,582,00:00:19.419,19.419
15,5973,00:03:19.266,199.266,6926,00:03:51.098,231.098,954,00:00:31.832,31.832
16,6927,00:03:51.098,231.098,11565,00:06:25.885,385.885,4639,00:02:34.788,154.788
17,11566,00:06:25.885,385.885,12020,00:06:41.067,401.067,455,00:00:15.182,15.182
