Timecode List:,00:00:14.815,00:00:26.193,00:01:49.643,00:01:54.414,00:02:00.554,00:02:12.966,00:16:26.420,00:18:59.540
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,444,00:00:14.815,14.815,444,00:00:14.815,14.815
2,445,00:00:14.815,14.815,785,00:00:26.193,26.193,341,00:00:11.378,11.378
3,786,00:00:26.193,26.193,3286,00:01:49.643,109.643,2501,00:01:23.450,83.450
4,3287,00:01:49.643,109.643,3429,00:01:54.414,114.414,143,00:00:04.771,4.771
5,3430,00:01:54.414,114.414,3613,00:02:00.554,120.554,184,00:00:06.139,6.139
6,3614,00:02:00.554,120.554,3985,00:02:12.966,132.966,372,00:00:12.412,12.412
7,3986,00:02:12.966,132.966,29563,00:16:26.420,986.420,25578,00:14:13.453,853.453
8,29564,00:16:26.420,986.420,34152,00:18:59.540,1139.540,4589,00:02:33.120,153.120
9,34153,00:18:59.540,1139.540,34324,00:19:05.277,1145.277,172,00:00:05.738,5.738
